DATE,PRODUCT CODE,  QTY,   MRP,     AMOUNT,    BILL NO,    DESCRIPTION,GST AMOUNT,     COMMENTS,
10-02-19,NF-SL-C5,1,4800,5040,1032,SAREES-NISHITHJI,240,,
10-02-19,NF-LN1-C6,1,3800,3990,1033,SAREES-NISHITHJI,190,,
10-02-19,TCB-FCOT12-P8,1,249,261,1033,FABRICS-TCB,12,,
10-02-19,NF-KH-C5,1,2500,2625,1033,SAREES-NISHITHJI,125,,
10-02-19,TCB-BP-KC,1,299,314,1033,FABRIC-TCB,15,,
10-02-19,TCB-DB2-RJ,1,1500,1575,1034,SAREES-TCB,75,,
10-02-19,TCB-CT5-CY1,1,1250,1313,1034,SAREES-TCB,63,,
10-02-19,TCB-POM2-CY1,1,1550,1628,1035,SAREES-TCB,78,,
10-02-19,TCB-SBGH14-P14,1,3500,3675,1036,SAREES-TCB,175,,
10-02-19,TCB-DB8-RJ,1,1500,1575,1037,SAREES-TCB,75,,
10-02-19,TCB-DB12-RJ,1,1500,1575,1038,SAREES-TCB,75,,
10-02-19,TCB-NP-P18,1,1810,1901,1038,SAREES-TCB,91,,
10-03-19,CC-BLOUSE ,1,2100,2205,1039,CHAMMAK CHALLO,105,,
10-03-19,TCB-KH1-CY,1,3600,3780,1040,SAREES-TCB,180,,
10-04-19,TCB-MNG2-P16,1,2200,2310,1041,SAREES-TCB,110,,
10-05-19,TCB-CHK1-CY1,1,1350,1418,1042,SAREES-TCB,68,,
10-07-19,CN-JANGSE1D,1,499,514,1043,JEWELLERY-CUPKIN,15,,
10-07-19,CN-AUGGSE14C,1,464,478,1043,JEWELLERY-CUPKIN,14,,
10-07-19,TCB-DUP7-P17,1,499,524,1043,DUPATTAS-TCB,25,,
10-07-19,TCB-AC8-BN,1,2100,2205,1044,SAREES-TCB,105,,
10-07-19,TCB-KC-KN,2,1600,3360,1045,SAREES-TCB,160,,
10-07-19,TCB-MONOB-P18,1,1680,1764,1046,SAREES-TCB,84,,
10-07-19,TCB-DB10-RJ,1,1500,1575,1046,SAREES-TCB,75,,
10-07-19,TCB-KC58-KN,1,150,157.5,1047,SAREES-TCB,7.5,,
10-07-19,TS-3700C,1,3200,3360,1047,SAREES-POOJA DOSHI,160,,
10-07-19,CC-HAND BLOCK PRINT SAREE,1,2500,2625,1047,CHAMMAK CHALLO,125,,
10-11-19,VA-SILVER NOSE PIN,1,599,617,1048,JEWELLERY-VASUKI,18,,
10-11-19,CC-EAR1I-C5,1,499,514,1048,CHAMMAK CHALLO,15,,
10-11-19,TCB-NP-08,1,200,206,1048,JEWELLERY-TCB,6,,
10-11-19,CN-APRILAN2,1,2900,2987,1048,JEWELLERY-CUPKIN,87,,
10-11-19,TCB-DIG9-LIN-C5,1,4600,4830,1048,SAREES-TCB,230,,
10-11-19,TCB-MS3-CY1,1,1550,1628,1049,SAREES-TCB,78,,
10-12-19,TCB-MS12-BS,1,4750,4988,1050,SAREES-TCB,238,,
10-12-19,KCH-AJR-FAB7,1,333,350,1050,SAREES-AJRAKH,17,,
10-12-19,TCB-DCOT12-P13,1,261,274,1050,FABRICS-TCB,13,,
10-12-19,TCB-AA-BG-C2,1,3675,3859,1051,SAREES-TCB,184,,
10-12-19,TCB-BB4-P17,1,1900,1995,1051,SAREES-TCB,95,,
10-12-19,TCB-GM-P19,1,1900,1995,1051,SAREES-TCB,95,,
10/16/2019,TCB-BAG1-P15,1,299,314,1052,FABRICS-TCB,15,,
10/16/2019,TCB-OKAL12-P17,2,261,548,1052,FABRICS-TCB,26,,
10/16/2019,TCB-LDUP3-C4,1,1800,1890,1052,DUPATTAS-TCB,90,,
10/16/2019,TCB-KC72-KN,1,1500,1575,1052,SAREES-TCB,75,,
10/16/2019,CN-JULYGSE2B,1,399,411,1052,JEWELLERY-CUPKIN,12,,
10/16/2019,TCB-AG2-BN,1,4400,4620,1052,SAREES-TCB,220,,
10/16/2019,TCB-KC61-KN,1,1500,1575,1053,SAREES-TCB,75,,
10/16/2019,GC-SET-231 (S),1,2857,3200,1053,GULAAL CREATIONS,343,,
10/16/2019,TOP0302 (S),1,1696,1900,1053,DRESSES-MADHURIMA,204,,
10/16/2019,TCB-MAN3-P14,1,200,210,1053,FABRICS-TCB,10,,
10/18/2019,CC-BW-C5,1,1950,2009,1054,CHAMMAK CHALLO,59,,
10/18/2019,TCB-TEM1-CY2,1,1350,1418,1054,SAREES-TCB,68,,
10/18/2019,TCB-CT3-CY2,1,1250,1313,1054,SAREES-TCB,63,,
10/19/2019,TCB-MS2-CY1,1,1550,1628,1055,SAREES-TCB,78,,
10/19/2019,TCB-PI1-BG,1,1500,1575,1056,SAREES-TCB,75,,
10/19/2019,TCB-KC74-KN,1,1500,1575,1056,SAREES-TCB,75,,
10/19/2019,TCB-BLUE SAREE,1,3200,3360,1056,SAREES-TCB,160,,
10/19/2019,TCB-CHK1-CY1,1,1350,1418,1056,SAREES-TCB,68,,
10/21/2019,TCB-GM2-P18,1,1900,1995,1057,SAREES-TCB,95,,
10/21/2019,CN-JULYGSE3A,1,399,411,1058,JEWELLERY-CUPKIN,12,,
10/22/2019,CC-BLOUSES SMALL,2,1824,3830,1059,CHAMMAK CHALLO,182,,
10/22/2019,NF-SILK LINEN(SEA GREEN),1,4560,4788,1059,SAREES-NISHITHJI,228,,
10/22/2019,TCB-JR5184,1,12350,12968,1059,SAREES-TCB,618,,
10/23/2019,NF-SL-C5,1,4800,5040,1060,SAREES-NISHITHJI,240,,
10/23/2019,TCB-JR5200,1,8000,8400,1061,SAREES-TCB,400,,
10/23/2019,TCB-MS10-BS,1,4750,4988,1061,SAREES-TCB,238,,
10/23/2019,TCB-AK2-BN,1,4000,4200,1061,SAREES-TCB,200,,
10/24/2019,TCB-KOTA,1,1995,2095,1062,SAREES-TCB,100,,
10/24/2019,TCB-KOTA,1,1995,2095,1062,SAREES-TCB,100,,
10/24/2019,TCB-CT1-CY1,1,1250,1313,1062,SAREES-TCB,63,,
10/25/2019,TCB-GAD-P19,1,1600,1680,1063,SAREES-TCB,80,,
10/25/2019,NF-LL-C5,1,3500,3675,1064,SAREES-NISHITHJI,175,,
10/25/2019,TCB-MO-MS1,1,4500,4725,1065,SAREES-TCB,225,,
10/25/2019,TCB-KOTA,1,1995,2095,1065,SAREES-TCB,100,,
10/25/2019,TCB-TNT19-JM,1,1800,1890,1066,SAREES-TCB,90,,
10/25/2019,TCB-MS2-CY1,1,1550,1628,1066,SAREES-TCB,78,,
10/26/2019,TCB-KC53-KN,1,1500,1575,1067,SAREES-TCB,75,,
10/26/2019,TCB-KC52-KN,1,1500,1575,1067,SAREES-TCB,75,,
10/26/2019,TCB-AG1-BN,1,2500,2625,1067,SAREES-TCB,125,,
10/26/2019,ASF230,1,3524,3700.2,1068,ADDOZ,176.2,,
10/26/2019,TCB-IN11-RJ,1,1500,1575,1068,SAREES-TCB,75,,
10/28/2019,TCB-OKAL,1,261,274,1069,FABRICS-TCB,13,,
10/28/2019,TCB-MO-MS1,1,4500,4725,1069,SAREES-TCB,225,,
10/28/2019,TCB-VIS1-MS1,1,3800,3990,1069,SAREES-TCB,190,,
10/28/2019,CC-BLOUSE,2,1920,4032,1069,CHAMMAK CHALLO,192,,
10/28/2019,TCB-AN1-BN,1,3600,3780,1070,SAREES-TCB,180,,
10/28/2019,TCB-SBGH17-P1,1,3500,3675,1070,SAREES-TCB,175,,
10/28/2019,TCB-PC14-BS,1,3200,3360,1070,SAREES-TCB,160,,
10/29/2019,TCB-KAL3-P20,1,1575,1654,1071,SAREES-TCB,78.75,,
10/29/2019,TCB-AN1-BG1,1,2400,2520,1071,SAREES-TCB,120,,
10/29/2019,TCB-OKAL1,4,261,1096,1071,FABRICS-TCB,52,,
10/29/2019,RK-BEG2-C38,1,2900,3045,1072,SAREES-REKHA,145,,
10/29/2019,KCH-MOD1-C14,1,6510,6836,1072,SAREES-AJRAKH,326,,
10/29/2019,CN-OCTGSN3,1,1150,1185,1073,JEWELLERY-CUPKIN,35,,
10/29/2019,TCB-AH1-BN,1,3000,3150,1074,SAREES-TCB,90,,
10/29/2019,TCB-DCOT12-P13,1,261,274,1074,FABRICS-TCB,8,,
,,,,,,,,,
,TOTAL,,,228982,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,TOTAL SALES ,,,,,,,,
,,,,,,,,,
,INSTORE,,,228982,,,,,
,ONLINE,,,861865,,,,,
,INTERNATIONAL,,,102047,,,,,
,,,,,,,,,
,TOTAL,,,1192894,,,,,
DATE,PRODUCT CODE,QTY,MRP,AMOUNT,BILL NO,DESCRIPTION,GST AMOUNT,WEBSITE ORDER #,
01-02-00,TCB-NP-4,1,200,206,1302,JEWELLERY-TCB,6,4077,
10-01-19,CC-DNP1-C6,1,1854,1910,1302,CHHAMAK CHALLO,56,4077,
10-01-19,KALAMKARI SAREE,1,1680,1764,1303,SAREES-TCB,84,,
10-01-19,TCB-CKAL2-P18,1,1575,1654,1304,SAREES-TCB,79,4066,
10-01-19,TCB-KSH-WHT,1,1600,1680,1305,SAREES-TCB,80,4067,
10-01-19,TCB-MONO-P18,1,1680,1764,1306,SAREES-TCB,84,4068,
10-01-19,TCB-KT-KO-13,1,1999,2099,1307,SAREES-TCB,100,4069,
10-01-19,KCH-MOD8-C14,1,6510,6836,1308,SAREES-AJRAKH,326,4071,
10-01-19,TCB-KAL2-P17,1,1500,1575,1310,SAREES-TCB,75,4073,
